,jia,jin,zhuan,char
0,0,0,1,帻
1,0,0,1,畔
2,2,0,1,莽
3,0,0,1,隋
4,0,0,1,啄
5,0,0,1,邠
6,0,0,1,鞯
7,0,0,1,瓣
8,0,0,1,扈
9,0,1,1,梠
10,0,0,1,肠
11,0,0,1,鹨
12,0,0,1,讥
13,166,46,1,才
14,0,2,1,雠
15,0,0,1,移
16,6,0,1,场
17,0,0,1,恢
18,0,0,1,求
19,0,0,1,哙
20,1,0,0,敤
21,1,0,1,麟
22,1,0,1,戾
23,1,0,0,惄
24,0,0,1,綦
25,1,0,0,軎
26,0,1,1,栾
27,0,0,1,鼋
28,0,0,1,烘
29,0,71,1,稽
30,0,0,1,栩
31,0,0,1,酅
32,0,0,1,靡
33,0,0,1,粮
34,8,6,1,奚
35,147,24,1,告
36,63,0,0,埶
37,17,40,1,武
38,1,4,1,艰
39,156,20,1,夕
40,0,0,1,薨
41,0,0,1,氓
42,0,2,1,某
43,0,0,1,悱
44,0,1,1,熬
45,0,0,1,瑝
46,0,1,1,钦
47,33,0,1,版
48,0,0,1,玱
49,0,0,1,岌
50,0,10,1,哲
51,0,0,1,琅
52,3,0,0,姪
53,0,0,1,鞬
54,0,15,1,具
55,0,0,1,劾
56,0,0,1,鹈
57,0,2,1,蕃
58,0,0,1,欸
59,0,0,1,晓
60,0,6,1,沱
61,0,0,1,鞔
62,147,61,1,又
63,0,0,1,泄
64,0,0,1,阖
65,0,0,1,滂
66,0,0,1,怯
67,0,0,1,裂
68,0,0,1,驲
69,24,8,1,犹
70,0,0,1,独
71,0,0,1,矩
72,2,15,1,丑
73,4,4,1,臾
74,0,0,1,攫
75,251,33,1,宾
76,0,0,1,佖
77,5,5,1,网
78,0,0,1,柱
79,0,68,1,拜
80,0,0,1,噪
81,0,1,1,亵
82,0,0,1,屡
83,0,0,1,跣
84,1,0,0,麤
85,0,0,1,脔
86,2,4,1,洛
87,0,0,1,萧
88,0,0,1,胜
89,1,2,1,杕
90,12,0,1,鸿
91,0,0,1,姽
92,0,0,1,呆
93,0,0,1,捌
94,0,0,1,坞
95,0,1,1,庄
96,0,0,1,误
97,0,0,1,轮
98,2,0,0,拕
99,0,0,1,蛘
100,0,0,1,叱
101,0,1,1,杀
102,0,0,1,翅
103,0,0,1,芦
104,0,2,1,素
105,0,0,1,飔
106,0,0,1,髋
107,0,0,1,驾
108,4,0,0,刜
109,3,0,1,寐
110,0,1,1,咏
111,0,0,1,骈
112,35,36,1,祀
113,0,0,1,珢
114,4,0,0,熯
115,0,0,1,寄
116,2,0,0,竽
117,83,2,1,唐
118,0,0,1,垆
119,0,0,1,檄
120,0,0,1,伸
121,37,7,1,渔
122,0,0,1,闸
123,0,1,1,顾
124,0,0,1,跄
125,59,136,1,乍
126,0,0,1,镆
127,0,0,1,闱
128,42,53,1,既
129,0,0,1,舸
130,0,0,1,诟
131,0,0,1,蝙
132,0,0,1,嵯
133,2,0,1,督
134,0,0,1,铬
135,0,0,1,醢
136,0,0,1,惜
137,0,0,1,傲
138,0,0,1,蛰
139,0,0,1,歆
140,0,94,1,辞
141,0,0,1,鸩
142,0,0,1,蜕
143,4,1,1,俘
144,50,0,0,众
145,0,0,1,阚
146,0,0,1,阶
147,2,33,1,此
148,82,22,1,西
149,1,0,0,奻
150,0,0,1,隃
151,0,1,1,椀
152,0,0,1,荨
153,1,0,0,彷
154,0,0,1,璬
155,14,3,1,耤
156,16,36,1,内
157,12,15,1,犀
158,0,0,1,蔗
159,0,0,1,僮
160,1,0,0,砅
161,0,0,1,坛
162,0,3,1,否
163,0,0,1,严
164,21,11,1,言
165,0,0,1,订
166,0,0,1,隶
167,0,0,1,秩
168,0,0,1,腆
169,70,10,1,每
170,0,12,1,差
171,0,4,1,返
172,0,0,1,貌
173,1,13,1,讯
174,0,2,1,职
175,0,0,1,规
176,0,0,1,颢
177,0,0,1,怵
178,0,0,1,芒
179,1,14,1,厚
180,0,0,1,淋
181,0,6,1,辅
182,1,15,1,司
183,0,0,1,笺
184,0,0,1,颅
185,0,4,1,真
186,0,0,1,偰
187,0,0,1,竦
188,0,0,1,醅
189,1,0,0,妟
190,0,0,1,铅
191,0,0,1,伥
192,0,0,1,蚨
193,0,0,1,述
194,0,0,1,臻
195,0,2,1,梁
196,0,0,1,溷
197,0,2,1,需
198,1,0,1,袆
199,0,0,1,婵
200,0,0,1,虱
201,0,0,1,煎
202,2,0,1,叩
203,0,1,1,杨
204,0,1,1,待
205,0,0,1,漷
206,8,2,1,央
207,0,11,1,尚
208,0,0,1,汨
